Site,artifact #,Multi-Metal Composite Artifact Subdivision,objects per artifact number,Multi-Metal Description,Catalogue # (CMH),Accession # (PWNHC),Description,Primary Code Class,Secondary Code Class,Tertiary Code Class,Quaternary Code Class,Geographic Locale,Territory,length mm,width mm,ht/thickness mm,weight gm,pXRF,photos,"Include in Final for CAA (adjust as needed - missing or ? should be changed to no if it is obviously historic, otherwise include it)",Notes,xrf notes,flag to examine more,notes (bag),native/historic/unknown,XRF determination,Clean copper signal?,Research Year,Permit number,Curation Facility,Collection Date,Collector,Accession No,Area,Square/Unit,Level/Stratum,Feature,Other Provenience Detail,Provenience Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KkJg-1,238,,,,KkJg-1:238,,"Ulu, antler handle & copper blade",,,,,,"NWTNunavut",,,,,,,missing,missing,,,,,,,2015,,CMH,1968,"Merbs , Ph.D, Dr. Charles F. - Arizona State University;::Arizona State University",1676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KkJg-1,399,,,,KkJg-1:399,,Copper piece FN = 21,,,,,,"NWTNunavut",55.76,7.22,2.06,3,y,1893,yes,"possible long skinny knife blade, very rough.",,,,,,,2015,,CMH,1969,"McCartney , PhD, Dr. Allen P. - University of Arkansas",2356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KkJg-1,505,,,,KkJg-1:505,,Copper point FN = 37,,,,,,"NWTNunavut",51.6,26.19,3,10.3,y,1888,yes,"point.  Thickest in the middle.  Base has been flattened, probably for hafting.  No evidence of tang or riveting. Notch in base looks like a fracture",,,,,,,2015,,CMH,1969,"McCartney , PhD, Dr. Allen P. - University of Arkansas",2356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KkJg-1,1621,,,,KkJg-1:1621,,Copper knife bl. FN=64,,,,,,"NWTNunavut",85,12.89,2.57,6.5,y,1823,yes,single edged knife blade with tang.  Loop at end of tang.  Very nice piece,,,,,,,2015,,CMH,1969,"McCartney , PhD, Dr. Allen P. - University of Arkansas",2356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KkJg-1,1658 a,,,,KkJg-1:1658 a,,Copper knife frag & wooden handle,,,,,,"NWTNunavut",16.36,13.95*,1.72,2.7*,y,1870,yes,very small blade (?) set into wood.  Its possible this is a knife.  This is a really good example of how all of these flat little fragments could have been utilized as expedient tools. Weight includes wood. Width is to where copper enters wood,,,,,,,2015,,CMH,,,1736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KkLn-1,M-87,,,,KkLn-1:M-87,,"Bone haft(?), copper riveted.",,,,,,"NWTNunavut",na,na,na,na,y,1810,yes,6 rivets - all appear to be 'rolled' rivets.  Hole for a 7th rivet.  Between 12.2 and 9.5 in length.  No wieght taken - would be all bone,,,,,,,2015,,CMH,1955,"Moffatt, A. R.",1285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaLt-6,1,,,,LaLt-6:1,,native copper awl (?),,,,,,"NWTNunavut",110.93,7.89,3.8,14.6,y,1269,yes,rough awl(?) fractured on both ends.  Relatively long.  Possibly a broken tang for a point.,,,,,,,2015,,CMH,,,2141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbLb-2,1,,,,LbLb-2:1,,Bone and muskox horn scoop with copper nails,,,,,,"NWTNunavut",see notes,na,na,na,yes,1298,yes,"examples of rivet length - 27, 24, 20 mm.  Rivets are of a different variety than the typical 'awl form' square rivets.  These all appear to be rolled copper.  At least 6, possible 7 rivets, although there are holes for at least 2 additional rivets (so 9 total holes)",,,,,,,2015,,CMH,,,2119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-7,4,,,,LbPg-7:4,,Beaten copper (?) frag.,,,,,,NWT,,,,,,,missing,missing,,,,,,,2015,,CMH,1967,"Noble, Dr. William C. - McMaster University",1644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,7,,,,,992.6.###,"curved, single-edged knife blade with tang - associated handle (LbPg-8:23)",,09,,,,NWT,74.51,11.49,1.94,6,yes,1125-1131,yes,previously sampled for metallography? Is number correct?,,,,,,,,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,8,,,,,992.6.8,,,01,,,,NWT,28.33,11.93,0.73,1.64,yes,previously taken,yes,,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,9,,,,,992.6.9,,,01,,,,NWT,19.06,11.33,1.15,0.9,yes,previously taken,yes,sampled for metallography,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,15,,,,,993.76.1,"rolled sheet - bead or tinkler- tube, not cone",,11,,,,NWT,24.4,5.65,0.73,2.8,yes,previously taken,yes,,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,16,,,,,993.76.2,,,01,,,,NWT,30.12,6.68,3.35,2.98,yes,previously taken,yes,,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,17,,,,,993.76.3,possible blade,,09,,,,NWT,80.42,10.16,2.05,8.39,yes,previously taken,yes,,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,18,,,,,993.76.4,bar,,01,,,,NWT,44.48,6.16,4.76,7.06,yes,previously taken,yes,,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,19,,,,,993.76.5,"flattened, rolled 'ring'.  - its really a crap shoot whether these types are decorative or not",,11,,,,NWT,14.92,9.15,0.96,1.3,yes,previously taken,yes,,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,20,,,,,993.76.6,,,01,,,,NWT,18.67,10.58,3.54,2.36,yes,previously taken,yes,,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,21,,,,,993.76.7,small bar/awl/pin,,06,,,,NWT,11.79,2.98,1.95,0.26,yes,previously taken,yes,,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,22,,,,,993.76.8,,,01,,,,NWT,14.31,6.93,0.64,0.23,yes,previously taken,yes,,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,25,,,,,993.76.11,wastage flake?,,01,,,,NWT,26.17,4.49,1.77,0.65,yes,previously taken,yes,,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,26,,,,,993.76.12,possible sheet frag,,01,,,,NWT,41.07,4.49,2.24,1.38,yes,previously taken,yes,sampled for metallography,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,27,,,,,993.76.13,wastage flake?,,01,,,,NWT,13.22,8.63,1.33,0.51,yes,previously taken,yes,,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,28,,,,,993.76.14,wastage flake?,,01,,,,NWT,13.5,5.4,4.35,1,yes,previously taken,yes,,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,31,,,,,993.76.17,wastage flake?,,01,,,,NWT,9.68,3.05,1.16,0.12,yes,previously taken,yes,,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,34,,,,,993.76.20,,,10,,,,NWT,27.74,8.53,1.56,1.83,yes,previously taken,yes,,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,35,,,,,993.76.21,,,10,,,,NWT,13.33,12.93,1.16,1.22,yes,previously taken,yes,,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,36,,,,,993.76.22,,,15,,,,NWT,26.63,4.36,1.25,1.86,yes,previously taken,yes,"u-shaped, approximately 50mm if straight",,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,37,,,,,993.76.23,bar/awl,,06,,,,NWT,48.55,5.21,1.99,2.33,yes,previously taken,yes,,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,38,,,,,993.76.24,,,01,,,,NWT,27.27,19.38,1.26,2.96,yes,previously taken,yes,,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,39,,,,,993.76.25,,,01,,,,NWT,39.16,12.56,0.76,1.88,yes,previously taken,yes,,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,40,,,,,993.76.26,knife tip?,,09 or 10,,,,NWT,24.53,8.99,1.56,1.34,yes,previously taken,yes,knife blade tip?,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,41,,,,,993.76.27,spiraled bar/awl,,15 or 06,,,,NWT,20.85,3.35,2.52,2.49,yes,previously taken,yes,spiral,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,42,,,,,993.76.28,,,01,,,,NWT,8.35,5.3,1.47,0.26,yes,previously taken,yes,,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,43,,,,,993.76.29,,,06,,,,NWT,28.93,5.2,3.42,1.36,yes,previously taken,yes,,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,45,,,,,993.76.31,,,01,,,,NWT,8.68,7.95,0.92,0.25,yes,previously taken,yes,,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,47,,,,,993.76.33,,,10,,,,NWT,13.08,9.1,0.92,0.63,yes,previously taken,yes,sampled for metallography,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,48,,,,,993.76.34,,,01,,,,NWT,53.33,6.85,1.55,2.6,yes,previously taken,yes,,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,54,,,,,993.76.40,,,01,,,,NWT,22.34,14.01,0.94,1.15,yes,1384-1386,yes,,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,55,,,,,993.76.41,,,10,,,,NWT,19.78,8.31,1.48,1.25,yes,previously taken,yes,,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,56,,,,,993.76.42,,,01,,,,NWT,13.21,4.65,0.38,0.06,yes,previously taken,yes,,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,57,,,,,993.76.43,bar/awl,,06,,,,NWT,32.86,4.31,2.95,2.01,yes,previously taken,yes,,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,58,,,,,993.76.44,,,01,,,,NWT,8.8,8.65,2.95,1.02,yes,previously taken,yes,sampled for metallography,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,61,,,,,993.76.47,,,01,,,,NWT,10.05,8.82,0.49,0.18,yes,previously taken,yes,sampled for metallography,,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbPg-8,62,,,,,993.76.48,,,01,,,,NWT,6.69,4.14,0.66,0.2,yes,previously taken,yes,"2 pieces approx. same size, cut for sampling?",,,,,,,2010,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LcPd-3,24,,,,LcPd-3:24,,Beaten copper fragment,,,,,,NWT,,,,,,,missing,missing,,,,,,,2015,,CMH,1967,"Noble, Dr. William C. - McMaster University",1644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LdHw-1,10,,,,LdHw-1:10,,copper pendant tied w two slate or soapstone beads,,,,,,NWT,18.93,14.34,1.01,1.5,y,1248,yes,"pendant with drilled hole, attached with some type of this cordage to two flat beads.  hole in pendant is 2.48 dia.  Pendant is slightly non-symetrical",,,,,,,2015,,CMH,1969,"Merbs , Ph.D, Dr. Charles F. - Arizona State University;::Arizona State University",1736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LdNx-3,28,,,,LdNx-3:28,,Copper Point or Side Blade,,,,,,NWT,,,,,,,missing,missing,,,,,,,2015,,CMH,1977,"Metcalf, F.",2134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LgPh-23,1,,,,LgPh-23:1,,copper object - possible knife blade,,,,,,NWT,64.15,15.9,1.3,4,y,1256,yes,"potential sheet copper, but possibly native copper as well - very uniform thickness","clean copper signal, possible sheet copper (but could potentially be native copper)",,,,,,2015,,CMH,1978,"Metcalf, F.",2184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LgPh-29,3,,,,LgPh-29:3,,copper artifact with bifurated expended end,,,,,,NWT,30.14,9.16,1.52,1.2,y,1265,yes,"rough piece, possible blank",,,,,,,2015,,CMH,1978,"Metcalf, Frank",2184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LgPi-8,13,,,,LgPi-8:13,,native copper,,,,,,NWT,,,3.28,23.8,y,1278,yes,hammered nugget,,,,,,,2015,,CMH,1978,"Metcalf, F.",2184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LhPg-6,1,,,,LhPg-6:1,,irregular shaped piece of copper,,,,,,NWT,,,2.63,4.6,,1278,yes,hammered nugget,,,,,,,2015,,CMH,1978,"Metcalf, F.",2184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LiPg-14,1,,,,LiPg-14:1,,green-black irregular shaped piece of native copper with some cultural modification - small piece of native silver embedded in it,,,,,,NWT,,,7.13,37.7,,1278,yes,hammered nugget,,,,,,,2015,,CMH,1978,"Metcalf, F.",2184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LiPg-15,67,,,,LiPg-15:67,,green and black copper fragment,,,,,,NWT,,,4.41,16.5,,1278,yes,hammered nugget,,,,,,,2015,,CMH,1978,"Metcalf, F.",2184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LiPg-15,68,,,,LiPg-15:68,,green and black copper fragment,,,,,,NWT,,,2.88,3.3,,1278,yes,hammered nugget,,,,,,,2015,,CMH,1978,"Metcalf, F.",2184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LiPg-15,69,,,,LiPg-15:69,,green and black copper fragment culturally modified,,,,,,NWT,,,3.13,5.9,,1278,yes,hammered nugget,,,,,,,2015,,CMH,1978,"Metcalf, F.",2184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LiPg-15,70,,,,LiPg-15:70,,green and black copper fragment,,,,,,NWT,,,3.51,7.2,,1278,yes,hammered nugget,,,,,,,2015,,CMH,1978,"Metcalf, F.",2184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LiPg-15,71,,,,LiPg-15:71,,green and black copper fragments,,,,,,NWT,,,2.88,3,,1282,yes,3 small hammered nuggets,,,,,,,2015,,CMH,1978,"Metcalf, F.",2184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LiPh-11,10,,,,LiPh-11:10,,green copper side-notched projectile point,,,,,,NWT,41.61,12.21,1.36,2,,1241,yes,side notched projectile point - very thin. Slightly thicker in the center and thinning to an edge. Wdith at shoulder,,,,,,,2015,,CMH,1978,"Metcalf, F.",2184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LiPh-5,1,,,,LiPh-5:1,,Copper Chunk,,,,,,NWT,,,3.63,7.3,,1278,yes,hammered nugget,,,,,,,2015,,CMH,1977,"Metcalf, F.",2134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LkPg-9,5,,,,LkPg-9:5,,Long Pointed Copper Object (Hammered),,,,,,NWT,91.69,13.7,5.37,25.5,y,1230,yes,appears to be a rough blank form of a tanged point.  Possibly two pieces joined together (tang and point),,,,,,,2015,,CMH,1977,"Metcalf, F.",2134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LkPg-9,6,,,,LkPg-9:6,,Thin Pointed Copper Object,,,,,,NWT,65.56,5.45,3.57,5.3,y,1235,yes,awl/barb blank - rough. Rectangular cross section,,,,,,,2015,,CMH,1977,"Metcalf, F.",2134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MaRm-1,25,,,,MaRm-1:25,,copper fragment,,,,,,NWT,11.42,7.26,2.45,0.6,y,1110,yes,"very small worked fragment, uniformly thick and roughly point shaped",,,,,,,2015,,CMH,1976,"Clark, Dr. Donald Woodforde",2059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MbNs-1,44,,,,MbNs-1:44,,copper knife with bone handle,,,02,,,"NWTNunavut",,,,,,,missing,missing,,,,,,,2015,,CMH,1985,"Gordon , Ph.D, Dr. Bryan C. - Canadian Museum of Civilization",2498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MbNs-1,163,a,2,2 rivets,MbNs-1:163,,"composite tool fragment (handle), with 2 copper rivets, antler or bone",,08,,,,"NWTNunavut",,,,7.3*,,1189,yes,"combined wieght - antler and copper.  2 rivets splicing 2 beveled pieces of antler.  Appears to be a shaft with an empty blade slot.  There is no rivet hole where the blade would have been.  Rivet lengths - 9.77, 8.18.  Rivet dia - na, no access to unflattened rivet (<3.5mm)",,,Nadlak - Square 4N 19W - @ 80cms - bone piece riveted by copper - no level,,,,2015,,CMH,1985,"Gordon , Ph.D, Dr. Bryan C. - Canadian Museum of Civilization",2498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MbNs-1,178,,,,MbNs-1:178,,ulu (copper blade in antler handle,,04,,,,"NWTNunavut",68.49,30.23,1.82,13.5,y,1197,yes,blade is loose from handle (good demonstration of why rivets were important) - measurements are on COPPER ONLY.  Blade is sharpened to an edge starting 4.3 mm from blade edge.  Thickness taken at thickest point,,,,,,,2015,,CMH,1985,"Gordon , Ph.D, Dr. Bryan C. - Canadian Museum of Civilization",2498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MbNs-1,497,,,,MbNs-1:497,,"bent, pointed copper object (fish hook?)",,02,,,,"NWTNunavut",57.92*,4.83,4.88,10.6,y,1218,yes,"appears to be a large fish hook.  Very top end (which would have been attached to a line/fishing spoon) is broken at the attachement point.  Square in cross section, tapers to a point.  Does NOT articulate with MbNs-1:2346 (different cross section dimensions) although they are reciprical to each other.",,,"Hut 2, Floor 1",,,,2015,,CMH,1985,"Gordon , Ph.D, Dr. Bryan C. - Canadian Museum of Civilization",2498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MbNs-1,586,,,,MbNs-1:586,,"ulu handle, antler, with copper rivet",,08,02,,,"NWTNunavut",,,,,,,missing,Object missing from box,,,,,,,2015,,CMH,1985,"Gordon , Ph.D, Dr. Bryan C. - Canadian Museum of Civilization",2498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MbNs-1,710,a,,copper blade fragment,MbNs-1:710,,"fragment of copper, with copper rivet",,09 or 03,01,,,"NWTNunavut",19.05,19.81,2.08,2.1*,y,1147,yes,"combined weight - measurements of blade(?) fragment.  Rivet length - 9.6mm, 2.46 dia",,,"Sq, 12N 19W - Riveted copper fragment - 58564E - level: immediately below turf in sand",,,,2015,,CMH,1985,"Gordon , Ph.D, Dr. Bryan C. - Canadian Museum of Civilization",2498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MbNs-1,710,b,,copper rivet through blade frag,MbNs-1:710,,"fragment of copper, with copper rivet",,08,,,,"NWTNunavut",9.6,2.46 dia,,see above,y,1147,yes,"combined weight - measurements of blade(?) fragment.  Rivet length - 9.6mm, 2.46 dia",,,"Sq, 12N 19W - Riveted copper fragment - 58564E - level: immediately below turf in sand",,,,2015,,CMH,1985,"Gordon , Ph.D, Dr. Bryan C. - Canadian Museum of Civilization",2498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MbNs-1,711,,,,MbNs-1:711,,fragment of copper,,01,05,,,"NWTNunavut",na,na,2.17,0.8,y,1150,yes,"small hammered fragment, length and width na",,,Sq 12N 19W - copper fragment 35S 65E - level: immediately below turf in sand -- ,,,,2015,,CMH,1985,"Gordon , Ph.D, Dr. Bryan C. - Canadian Museum of Civilization",2498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MbNs-1,1562,,,,MbNs-1:1562,,copper blade frag.,,,02,,,"NWTNunavut",,,,,,,missing,missing,,,,,,,2015,,CMH,1985,"Gordon , Ph.D, Dr. Bryan C. - Canadian Museum of Civilization",2498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MbNs-1,1563,,,,MbNs-1:1563,,copper rivet,,08,02,,,"NWTNunavut",,,,,,,missing,missing,,,,,,,2015,,CMH,1985,"Gordon , Ph.D, Dr. Bryan C. - Canadian Museum of Civilization",2498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MbNs-1,1564,,,,MbNs-1:1564,,copper frag.,,,02,,,"NWTNunavut",,,,,,,missing,missing,,,,,,,2015,,CMH,1985,"Gordon , Ph.D, Dr. Bryan C. - Canadian Museum of Civilization",2498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MbNs-1,1565,,,,MbNs-1:1565,,copper frag.,,,02,,,"NWTNunavut",,,,,,,missing,missing,,,,,,,2015,,CMH,1985,"Gordon , Ph.D, Dr. Bryan C. - Canadian Museum of Civilization",2498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MbNs-1,2144,,,,MbNs-1:2144,,copper mending staple(?) for soapstone pottery,,07,,,,"NWTNunavut",na,3.48,2.13,2.1,y,1223,yes,bent copper staple for soapstone lamp?,,,"Hut 3(?), Floor 2",,,,2015,,CMH,1986,"Gordon , Ph.D, Dr. Bryan C. - Canadian Museum of Civilization",2554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MbNs-1,2281,,,,MbNs-1:2281,,"antler arrowhead w. copper endblade,",,09,02,,,"NWTNunavut",,,,,,,?,wrong object pulled - MbNs-1:2181,,,,,,,2015,,CMH,1986,"Gordon , Ph.D, Dr. Bryan C. - Canadian Museum of Civilization",2554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MbNs-1,2344,a,,3 copper rivets,MbNs-1:2344,,"antler arrowhead w. 3 copper rivets, dist. end broken",,08,02,,,"NWTNunavut",,,,,,,?,,,,,,,,2015,,CMH,1986,"Gordon , Ph.D, Dr. Bryan C. - Canadian Museum of Civilization",2554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MbNs-1,2346,,,,MbNs-1:2346,,antler fishing spoon w. copper hook fray,,02,,,,"NWTNunavut",na,4.65,2.27,5.8*,y,1157,yes,"combined wieght - 3 holes in fishing spoon, small fragment of copper hook",,,,,,,2015,,CMH,1986,"Gordon , Ph.D, Dr. Bryan C. - Canadian Museum of Civilization",2554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MdHs-1,24,,,,,GN2004.4,,,01,05,,,Nunavut,13.7,7.4,0.78,<1,yes,1829-1830,yes,copper fragment,,,,,,,,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MdHs-1,28,,,,,GN2004.4,,,10,,,,Nunavut,32.16,12.08,1.4,2,yes,1831-1837,yes,"copper blade, with sinew remnants",,,,,,,,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MdHs-1,61,,,,,GN2004.4,,,01,07,,,Nunavut,40.1,27.77,1.68,4,yes,"dyno-lite, and 1823-1828",yes,"flattened copper fragment, potentially 2 separate pieces laminated together",,,,,,,,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MdHs-1,119,,,,,GN2004.4,,,01,05,,,Nunavut,16.54,8.05,1.31,<1,yes,1818-1821,yes,copper fragment,,,,,,,,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MdHs-1,122,,,,,GN2004.4,,,01,05,,,Nunavut,15.24,5.26,1,<1,yes,1815-1817,yes,copper fragment,,,,,,,,,PWNHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
